phase,lon,lat,UWIND
Early,-170,-82.5,0.30082990963030115
Early,-170,-80,0.6511471161495871
Early,-170,-77.5,0.1623365352887018
Early,-170,-75,-0.8198974527749754
Early,-170,-72.5,-1.4346328780678477
Early,-170,-70,-1.3256539089063955
Early,-170,-67.5,-0.9472855299662432
Early,-170,-65,-0.8283738704418092
Early,-170,-62.5,-0.9068186456983631
Early,-170,-60,-0.7870978423197581
Early,-170,-57.5,-0.37315109711947675
Early,-170,-55,0.0580432812044096
Early,-170,-52.5,0.30005742201503827
Early,-170,-50,0.421337163258486
Early,-170,-47.5,0.5015816767035489
Early,-170,-45,0.46694441837785083
Early,-170,-42.5,0.2591994197651112
Early,-170,-40,0.01558606825693718
Early,-170,-37.5,-0.08431274151439846
Early,-170,-35,-0.03489421688071135
Early,-170,-32.5,0.050468327390346415
Early,-170,-30,0.1158709801112974
Early,-170,-27.5,0.1599191029984279
Early,-170,-25,0.1322291481609498
Early,-170,-22.5,-0.013538063112452276
Early,-170,-20,-0.18327749755715403
Early,-170,-17.5,-0.23317010654032688
Early,-170,-15,-0.16035665650837275
Early,-170,-12.5,-0.0955283670463869
Early,-170,-10,-0.07476693210801122
Early,-170,-7.5,0.04229791856859708
Early,-170,-5,0.3368110328344658
Early,-170,-2.5,0.6682779602180595
Early,-170,0,0.8169918120686174
Early,-170,2.5,0.7288828898558213
Early,-170,5,0.5211023396508253
Early,-170,7.5,0.33066242966513215
Early,-170,10,0.22447105701018577
Early,-170,12.5,0.23860962035408245
Early,-170,15,0.3851326004467936
Early,-170,17.5,0.6092452586759525
Early,-170,20,0.8009698150838367
Early,-170,22.5,0.8794656281527184
Early,-170,25,0.8079290731292756
Early,-170,27.5,0.5646071860922505
Early,-170,30,0.16709535099257614
Early,-170,32.5,-0.2819246507901362
Early,-170,35,-0.6336498660823645
Early,-170,37.5,-0.8081908094133277
Early,-170,40,-0.8164648740582977
Early,-170,42.5,-0.7447456256003996
Early,-170,45,-0.6871817518848861
Early,-170,47.5,-0.6939304450370143
Early,-170,50,-0.6940049251524381
Early,-170,52.5,-0.5223790991274269
Early,-170,55,-0.12205469707082386
Early,-170,57.5,0.30309696005271936
Early,-170,60,0.48639480304144106
Early,-170,62.5,0.4318287792097825
Early,-170,65,0.4072058928414395
Early,-170,67.5,0.5471388122916906
Early,-170,70,0.6536274717605415
Early,-170,72.5,0.5146280965904777
Early,-170,75,0.25262653567977233
Early,-170,77.5,0.14718073825512484
Early,-170,80,0.2222258673481938
Early,-170,82.5,0.2111830678889535
Early,-170,85,-0.013614113941356153
Early,-170,87.5,-0.2547562876233275
Early,-170,90,-0.2816565275175032
Early,-167.5,-90,-0.1389847524560022
Early,-167.5,-87.5,-0.49545456778497005
Early,-167.5,-85,-0.3177999130888689
Early,-167.5,-82.5,0.32389620418451825
Early,-167.5,-80,0.6623423718967678
Early,-167.5,-77.5,0.13318015610836204
Early,-167.5,-75,-0.8740766007716129
Early,-167.5,-72.5,-1.4594426234465114
Early,-167.5,-70,-1.3041645023215565
Early,-167.5,-67.5,-0.9135955395742268
Early,-167.5,-65,-0.8165070759696544
Early,-167.5,-62.5,-0.9106868167159878
Early,-167.5,-60,-0.7871861949378774
Early,-167.5,-57.5,-0.3655870784921143
Early,-167.5,-55,0.07474588372011719
Early,-167.5,-52.5,0.34770337207206387
